-0.000019,0.000005,-0.000002,0.000001,0.000010,0.000014
-0.000019,0.000005,-0.000002,0.000002,0.000010,0.000013
-0.000020,0.000005,-0.000002,0.000002,0.000010,0.000012
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000011
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000010
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000010
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000009
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000008
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000008
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000007
-0.000020,0.000005,-0.000002,0.000002,0.000011,0.000007
-0.000021,0.000005,-0.000002,0.000002,0.000011,0.000006
-0.000021,0.000005,-0.000002,0.000002,0.000011,0.000006
-0.000021,0.000005,-0.000002,0.000002,0.000011,0.000006
-0.000021,0.000005,-0.000002,0.000002,0.000011,0.000005
-0.000021,0.000005,-0.000002,0.000002,0.000011,0.000005
-0.000021,0.000005,-0.000002,0.000002,0.000012,0.000004
-0.000021,0.000005,-0.000002,0.000002,0.000012,0.000004
-0.000021,0.000005,-0.000002,0.000003,0.000012,0.000004
-0.000021,0.000005,-0.000002,0.000003,0.000012,0.000003
-0.000021,0.000005,-0.000002,0.000003,0.000012,0.000003
-0.000021,0.000005,-0.000002,0.000003,0.000012,0.000003
-0.000021,0.000005,-0.000002,0.000003,0.000012,0.000003
-0.000022,0.000005,-0.000002,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000002,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000002,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000002,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000002
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000000
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000003,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000022,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000012,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000021,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000004,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000005,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000020,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000019,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000019,0.000004,-0.000005,0.000003,0.000011,-0.000001
-0.000019,0.000004,-0.000005,0.000003,0.000010,-0.000001
-0.000019,0.000004,-0.000005,0.000003,0.000010,-0.000001
-0.000019,0.000004,-0.000005,0.000003,0.000010,-0.000001
-0.000021,-0.000004,-0.000005,0.000018,0.000007,-0.000043
-0.000022,-0.000013,-0.000005,0.000033,0.000004,-0.000086
-0.000024,-0.000023,-0.000005,0.000049,0.000001,-0.000129
-0.000026,-0.000032,-0.000005,0.000066,-0.000002,-0.000174
-0.000028,-0.000042,-0.000005,0.000082,-0.000006,-0.000219
-0.000027,-0.000039,-0.000005,0.000078,-0.000005,-0.000205
-0.000029,-0.000049,-0.000005,0.000095,-0.000008,-0.000251
-0.000031,-0.000059,-0.000005,0.000113,-0.000012,-0.000298
-0.000033,-0.000070,-0.000005,0.000131,-0.000016,-0.000345
-0.000035,-0.000080,-0.000005,0.000150,-0.000019,-0.000393
-0.000037,-0.000091,-0.000005,0.000169,-0.000023,-0.000442
-0.000039,-0.000102,-0.000005,0.000189,-0.000027,-0.000492
-0.000041,-0.000114,-0.000005,0.000209,-0.000031,-0.000542
-0.000039,-0.000107,-0.000005,0.000196,-0.000029,-0.000509
-0.000038,-0.000100,-0.000005,0.000184,-0.000027,-0.000479
-0.000037,-0.000094,-0.000006,0.000174,-0.000024,-0.000450
-0.000036,-0.000088,-0.000006,0.000163,-0.000022,-0.000423
-0.000034,-0.000083,-0.000006,0.000153,-0.000021,-0.000397
-0.000033,-0.000077,-0.000006,0.000144,-0.000019,-0.000373
-0.000032,-0.000073,-0.000006,0.000136,-0.000017,-0.000351
-0.000031,-0.000068,-0.000006,0.000128,-0.000016,-0.000330
-0.000030,-0.000064,-0.000006,0.000120,-0.000014,-0.000310
-0.000029,-0.000060,-0.000006,0.000113,-0.000013,-0.000291
-0.000029,-0.000056,-0.000006,0.000106,-0.000012,-0.000274
-0.000028,-0.000052,-0.000006,0.000100,-0.000010,-0.000257
-0.000027,-0.000049,-0.000006,0.000094,-0.000009,-0.000242
-0.000026,-0.000046,-0.000006,0.000089,-0.000008,-0.000227
-0.000026,-0.000043,-0.000006,0.000083,-0.000007,-0.000214
-0.000025,-0.000040,-0.000006,0.000078,-0.000006,-0.000201
-0.000024,-0.000038,-0.000006,0.000074,-0.000006,-0.000189
-0.000024,-0.000035,-0.000006,0.000070,-0.000005,-0.000177
-0.000023,-0.000033,-0.000006,0.000065,-0.000004,-0.000167
-0.000023,-0.000031,-0.000006,0.000062,-0.000003,-0.000157
-0.000022,-0.000029,-0.000006,0.000058,-0.000003,-0.000147
-0.000022,-0.000027,-0.000006,0.000055,-0.000002,-0.000138
-0.000021,-0.000025,-0.000006,0.000051,-0.000002,-0.000130
-0.000021,-0.000023,-0.000006,0.000048,-0.000001,-0.000122
-0.000020,-0.000022,-0.000006,0.000046,-0.000001,-0.000115
-0.000020,-0.000020,-0.000006,0.000043,-0.000000,-0.000108
-0.000020,-0.000019,-0.000006,0.000041,0.000000,-0.000102
-0.000019,-0.000017,-0.000006,0.000038,0.000001,-0.000095
-0.000019,-0.000016,-0.000006,0.000036,0.000001,-0.000090
-0.000019,-0.000015,-0.000007,0.000034,0.000001,-0.000084
-0.000018,-0.000014,-0.000007,0.000032,0.000002,-0.000079
-0.000018,-0.000013,-0.000007,0.000030,0.000002,-0.000074
-0.000018,-0.000012,-0.000007,0.000028,0.000002,-0.000070
-0.000017,-0.000011,-0.000007,0.000027,0.000003,-0.000066
-0.000017,-0.000010,-0.000007,0.000025,0.000003,-0.000062
-0.000017,-0.000010,-0.000007,0.000024,0.000003,-0.000058
-0.000017,-0.000009,-0.000007,0.000023,0.000003,-0.000055
-0.000016,-0.000008,-0.000007,0.000021,0.000003,-0.000051
-0.000016,-0.000007,-0.000007,0.000020,0.000004,-0.000048
-0.000016,-0.000007,-0.000007,0.000019,0.000004,-0.000045
-0.000016,-0.000006,-0.000007,0.000018,0.000004,-0.000043
-0.000015,-0.000006,-0.000007,0.000017,0.000004,-0.000040
-0.000015,-0.000005,-0.000007,0.000016,0.000004,-0.000038
-0.000015,-0.000005,-0.000007,0.000015,0.000004,-0.000035
-0.000015,-0.000004,-0.000007,0.000014,0.000004,-0.000033
-0.000015,-0.000004,-0.000007,0.000014,0.000004,-0.000031
-0.000015,-0.000004,-0.000007,0.000013,0.000004,-0.000029
-0.000014,-0.000003,-0.000007,0.000012,0.000004,-0.000028
-0.000014,-0.000003,-0.000007,0.000012,0.000005,-0.000026
-0.000014,-0.000003,-0.000007,0.000011,0.000005,-0.000024
-0.000014,-0.000002,-0.000007,0.000010,0.000005,-0.000023
-0.000014,-0.000002,-0.000007,0.000010,0.000005,-0.000021
-0.000014,-0.000002,-0.000007,0.000009,0.000005,-0.000020
-0.000013,-0.000002,-0.000007,0.000009,0.000005,-0.000019
-0.000013,-0.000001,-0.000007,0.000008,0.000005,-0.000018
-0.000013,-0.000001,-0.000008,0.000008,0.000005,-0.000017
-0.000013,-0.000001,-0.000008,0.000008,0.000005,-0.000016
-0.000013,-0.000001,-0.000008,0.000007,0.000005,-0.000015
-0.000013,-0.000001,-0.000008,0.000007,0.000005,-0.000014
-0.000013,-0.000000,-0.000008,0.000007,0.000005,-0.000013
-0.000012,-0.000000,-0.000008,0.000006,0.000005,-0.000012
-0.000012,-0.000000,-0.000008,0.000006,0.000005,-0.000011
-0.000012,-0.000000,-0.000008,0.000006,0.000005,-0.000011
-0.000012,0.000000,-0.000008,0.000005,0.000005,-0.000010
-0.000012,0.000000,-0.000008,0.000005,0.000005,-0.000009
-0.000012,0.000000,-0.000008,0.000005,0.000005,-0.000009
-0.000012,0.000000,-0.000008,0.000005,0.000005,-0.000008
-0.000012,0.000000,-0.000008,0.000005,0.000005,-0.000008
-0.000011,0.000000,-0.000008,0.000004,0.000005,-0.000007
-0.000011,0.000001,-0.000008,0.000004,0.000005,-0.000007
-0.000011,0.000001,-0.000008,0.000004,0.000005,-0.000006
-0.000011,0.000001,-0.000008,0.000004,0.000004,-0.000006
-0.000011,0.000001,-0.000008,0.000004,0.000004,-0.000006
-0.000011,0.000001,-0.000008,0.000004,0.000004,-0.000005
-0.000011,0.000001,-0.000008,0.000004,0.000004,-0.000005
-0.000011,0.000001,-0.000008,0.000003,0.000004,-0.000004
-0.000010,0.000001,-0.000008,0.000003,0.000004,-0.000004
-0.000010,0.000001,-0.000008,0.000003,0.000004,-0.000004
-0.000010,0.000001,-0.000008,0.000003,0.000004,-0.000004
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000003
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000003
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000003
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000003
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000002
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000002
-0.000010,0.000001,-0.000009,0.000003,0.000004,-0.000002
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000002
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000002
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000002
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000001
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000001
-0.000009,0.000001,-0.000009,0.000002,0.000004,-0.000001
-0.000009,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000009,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000009,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000001
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000009,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000010,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000010,0.000002,0.000003,-0.000000
-0.000008,0.000001,-0.000010,0.000002,0.000003,0.000000
-0.000008,0.000001,-0.000010,0.000002,0.000003,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000003,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000003,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000003,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000000
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000001
-0.000007,0.000001,-0.000010,0.000002,0.000002,0.000001
-0.000007,0.000000,-0.000010,0.000002,0.000002,0.000001
-0.000006,0.000000,-0.000010,0.000002,0.000002,0.000001
-0.000006,0.000000,-0.000010,0.000002,0.000002,0.000001
-0.000006,0.000000,-0.000010,0.000002,0.000002,0.000001
-0.000006,0.000000,-0.000010,0.000002,0.000002,0.000001
